4
0,0
0,60,90,0,60,90
4,60,90,4,60,90
8,20,0,8,20,0
12,64,90,12,64,90
16,67,90,16,67,90
20,67,90,20,67,90
24,67,90,24,67,90
28,67,90,28,67,90
32,69,90,32,69,90
48,67,90,48,67,90
64,64,90,64,64,90
68,64,90,68,64,90
72,20,0,72,20,0
76,60,90,76,60,90
80,67,90,80,67,90
96,64,90,96,64,90
112,60,90,112,60,90
128,55,90,128,55,90
136,55,90,136,55,90
140,55,90,140,55,90
144,55,90,144,55,90
152,55,90,152,55,90
156,55,90,156,55,90
160,60,90,160,60,90
176,60,90,176,60,90
184,20,0,184,20,0
188,20,0,188,20,0
